,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),State Senator - District 15 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Representative - District 10 - DEM (Vote For=1),State Representative - District 11 - DEM (Vote For=1),State Representative - District 12 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 49 - DEM (Vote For=1),Boulder County Commissioner - District 3 - DEM (Vote For=1),Boulder County Clerk and Recorder - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Assessor - DEM (Vote For=1),Boulder County Sheriff - DEM (Vote For=1),Boulder County Surveyor - DEM (Vote For=1),Boulder County Coroner - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),State Senator - District 15 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Representative - District 12 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 49 - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,,Julie Gonzales,John Hickenlooper,Joe Neguse,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Kubs Lalchandani,Edie Hooton,Murray Smith,Janice Marchman,Katie Wallace,Junie Joseph,Karen McCormick,Kyle Brown,Anil Pesaramelli,Jillaire McMillan,Colton Jonjak Plahn,Lesley Smith,Ashley Stolzmann,Molly Fitzpatrick,Jenn Kaaoush,Rachel Friend,Cynthia Braddock,Curtis Johnson,Kayce D. W. Keane,Jeff Martin,Sean Vadney,Alex Astley,Mark Baisley,Kelley Anne Dennison,Christina Blunt (Ducommun),Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-In,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Marty Neilson,Rob Woodward,Pat Miller,Ryan Rhatigan,Dan Woog,Michael Sheperek,Paul NoÃ«l Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
32091,108,65,77,108-65-77,Regular,16,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,,,,,,,,,1,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32092,108,65,76,108-65-76,Regular,16,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32093,108,65,49,108-65-49,Regular,16,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32094,108,65,32,108-65-32,Regular,16,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32095,108,65,13,108-65-13,Regular,19,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32096,108,65,82,108-65-82,Regular,19,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32097,108,65,81,108-65-81,Regular,19,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32098,108,65,50,108-65-50,Regular,19,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32099,108,65,33,108-65-33,Regular,19,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32100,108,65,15,108-65-15,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32101,108,65,84,108-65-84,Regular,19,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,,,,,,,,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32102,108,65,83,108-65-83,Regular,19,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32103,108,65,66,108-65-66,Regular,16,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32104,108,65,41,108-65-41,Regular,16,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32105,108,65,21,108-65-21,Regular,19,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32106,108,65,86,108-65-86,Regular,16,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,
32107,108,65,85,108-65-85,Regular,16,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,,,,,,,,,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32108,108,65,71,108-65-71,Regular,16,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32109,108,65,45,108-65-45,Regular,16,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,,,,,,,,,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32110,108,65,27,108-65-27,Regular,16,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32111,108,65,90,108-65-90,Regular,16,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32112,108,65,89,108-65-89,Regular,16,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32113,108,65,72,108-65-72,Regular,16,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32114,108,65,46,108-65-46,Regular,16,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32115,108,65,26,108-65-26,Regular,19,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32116,108,65,88,108-65-88,Regular,19,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32117,108,65,87,108-65-87,Regular,19,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32118,108,65,75,108-65-75,Regular,16,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32119,108,65,48,108-65-48,Regular,16,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32120,108,65,29,108-65-29,Regular,16,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32121,108,65,92,108-65-92,Regular,16,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32122,108,65,91,108-65-91,Regular,19,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32123,108,65,80,108-65-80,Regular,16,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32124,108,65,51,108-65-51,Regular,16,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32125,108,65,34,108-65-34,Regular,16,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,,,,,,,,,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32126,109,39,90,109-39-90,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32127,109,39,89,109-39-89,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32128,109,39,48,109-39-48,Regular,04,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32129,109,39,47,109-39-47,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32130,109,39,29,109-39-29,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32131,109,39,12,109-39-12,Regular,04,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32132,109,39,1,109-39-1,Regular,04,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32133,109,39,98,109-39-98,Regular,04,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32134,109,39,97,109-39-97,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32135,109,39,51,109-39-51,Regular,04,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32136,109,39,50,109-39-50,Regular,04,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32137,109,39,31,109-39-31,Regular,04,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32138,109,39,13,109-39-13,Regular,04,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,,,0,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
32139,109,39,64,109-39-64,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32140,109,39,63,109-39-63,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,,,1,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32141,109,39,34,109-39-34,Regular,04,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,,,0,,,,,,,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
32142,109,39,14,109-39-14,Regular,04,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32143,109,39,4,109-39-4,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32144,109,39,96,109-39-96,Regular,04,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32145,109,39,95,109-39-95,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32146,109,39,53,109-39-53,Regular,04,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32147,109,39,52,109-39-52,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32148,109,39,32,109-39-32,Regular,04,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32149,109,39,15,109-39-15,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32150,109,39,5,109-39-5,Regular,04,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32151,109,39,99,109-39-99,Regular,04,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,,,0,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32152,109,39,56,109-39-56,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,0,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32153,109,39,33,109-39-33,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32154,109,39,16,109-39-16,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32155,109,39,3,109-39-3,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32156,109,39,94,109-39-94,Regular,04,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32157,109,39,93,109-39-93,Regular,04,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32158,109,39,55,109-39-55,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32159,109,39,54,109-39-54,Regular,04,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,,,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32160,109,39,35,109-39-35,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32161,109,39,17,109-39-17,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,0,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32162,109,39,6,109-39-6,Regular,04,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32163,109,39,59,109-39-59,Regular,04,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32164,109,39,58,109-39-58,Regular,04,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32165,109,39,36,109-39-36,Regular,04,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32166,109,39,18,109-39-18,Regular,04,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32167,109,39,8,109-39-8,Regular,04,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32168,109,39,62,109-39-62,Regular,04,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32169,109,39,39,109-39-39,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32170,109,39,21,109-39-21,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32171,109,39,9,109-39-9,Regular,04,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,,,1,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32172,109,39,68,109-39-68,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32173,109,39,67,109-39-67,Regular,04,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32174,109,39,40,109-39-40,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32175,109,39,22,109-39-22,Regular,04,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32176,109,39,70,109-39-70,Regular,04,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32177,109,39,69,109-39-69,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32178,109,39,42,109-39-42,Regular,04,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32179,109,39,23,109-39-23,Regular,04,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32180,109,39,10,109-39-10,Regular,04,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32181,109,39,74,109-39-74,Regular,04,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32182,109,39,73,109-39-73,Regular,04,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32183,109,39,46,109-39-46,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32184,109,39,27,109-39-27,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32185,109,39,7,109-39-7,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,0,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32186,109,39,78,109-39-78,Regular,04,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,,,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32187,109,39,77,109-39-77,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32188,109,39,60,109-39-60,Regular,04,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32189,109,39,37,109-39-37,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32190,109,39,19,109-39-19,Regular,04,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32191,109,39,82,109-39-82,Regular,04,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32192,109,39,81,109-39-81,Regular,04,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32193,109,39,65,109-39-65,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32194,109,39,38,109-39-38,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32195,109,39,20,109-39-20,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32196,109,39,80,109-39-80,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32197,109,39,79,109-39-79,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32198,109,39,66,109-39-66,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32199,109,39,41,109-39-41,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32200,109,39,26,109-39-26,Regular,04,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32201,109,39,84,109-39-84,Regular,04,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32202,109,39,83,109-39-83,Regular,04,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32203,109,39,71,109-39-71,Regular,04,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32204,109,39,43,109-39-43,Regular,04,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,,,1,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32205,109,39,25,109-39-25,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32206,109,39,86,109-39-86,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32207,109,39,85,109-39-85,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32208,109,39,72,109-39-72,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32209,109,39,44,109-39-44,Regular,04,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,,,1,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32210,109,39,24,109-39-24,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32211,109,39,88,109-39-88,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32212,109,39,87,109-39-87,Regular,04,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
