parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, failPct
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.24, 30470.33, 14918.82, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.505050505050505, 30803.60606060606, 17013.464646464647, 1.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.38, 1591.94, 816.61, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.18, 893.14, 366.69, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.06, StatRejectNull, 2.07, 574.35, 299.9, 0.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.26, 984.45, 443.94, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.94, 3202.74, 1827.17, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.27, 657.49, 308.97, 0.0
"nruns=100.0 simType=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.08, 725.32, 286.71, 0.0
"nruns=100.0 simType=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.12, 561.76, 215.86, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.12, 493.01, 218.35, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.99, 429.54, 255.28, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 2.07, 344.25, 220.68, 0.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.31, 719.33, 339.21, 0.0
"nruns=100.0 simType=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.12, 442.44, 177.77, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.4736842105263157, 37063.515789473684, 22404.684210526317, 5.0
"nruns=100.0 simType=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.15, 353.59, 146.4, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.98, 295.75, 171.29, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.28, 382.78, 191.0, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.05, StatRejectNull, 2.03, 2031.04, 1071.84, 0.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.41, 529.27, 261.08, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.15, 315.45, 153.95, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 2.01, 256.04, 160.12, 0.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.39, 439.29, 221.62, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.06, StatRejectNull, 2.05, 1483.95, 719.28, 0.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.3958333333333333, 39475.072916666664, 22982.572916666668, 4.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.32, 333.49, 154.72, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.17, 264.05, 123.33, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 2.0, 1101.25, 576.33, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 2.02, 944.57, 500.84, 0.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.4, 297.55, 130.7, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.360655737704918, 39612.88524590164, 26816.16393442623, 39.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 2.08, 721.7, 382.72, 0.0
"nruns=100.0 simType=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 2.04, 604.66, 307.99, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.3636363636363635, 35759.10101010101, 21548.272727272728, 1.0
