parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.003, StatRejectNull, 1.77, 3680.11, 3680.11, 4291.95, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.008, StatRejectNull, 2.18, 1012.33, 1012.33, 1202.62, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.2133333333333334, 7658.99, 7658.99, 8608.71, 53.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.004, StatRejectNull, 2.33, 2631.37, 2631.37, 2977.39, 3.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.005, StatRejectNull, 2.35, 1950.3, 1950.3, 2253.3, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.003, StatRejectNull, 2.2, 3235.11, 3235.11, 3715.4700000000003, 7.000000000000001
"nruns=100 cat=clcaFuzzPct/2 mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.2659574468085106, 7410.36, 7410.36, 8758.630000000001, 41.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.32, 7036.789999999999, 7036.789999999999, 8486.029999999999, 31.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.02, StatRejectNull, 1.11, 326.34, 326.34, 428.55, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.016, StatRejectNull, 1.13, 422.55, 422.55, 576.56, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.03, StatRejectNull, 1.14, 231.14, 231.14, 242.87, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.03, StatRejectNull, 1.08, 218.74, 218.74, 386.79, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.02, StatRejectNull, 1.09, 330.4, 330.4, 606.95, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.016, StatRejectNull, 1.33, 468.24, 468.24, 506.03, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.02, StatRejectNull, 1.12, 333.09, 333.09, 348.72, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.012, StatRejectNull, 1.14, 586.78, 586.78, 841.05, 0.0
