parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.93, 948.35, 948.3500000000003, 1203.12, 0.0, 864.0058839498722
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.025, StatRejectNull, 2.23, 1722.39, 1722.3900000000003, 2162.47, 0.0, 1709.1359506780027
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.02, 104.64, 104.64000000000001, 215.45, 0.0, 40.208834850067475
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.1, 147.0, 147.0, 296.34, 0.0, 77.68333154544801
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.19, 164.12, 164.12000000000003, 316.89, 0.0, 122.02428282927953
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.21, 132.24, 132.24000000000004, 237.65, 0.0, 86.65600036927623
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.11, 90.57, 90.56999999999998, 169.43, 0.0, 34.98664173652566
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.22, 135.11, 135.10999999999999, 233.41, 0.0, 143.02069046120565
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.31, 241.35, 241.35, 427.22, 0.0, 244.803364968703
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.22, 134.09, 134.08999999999995, 523.85, 0.0, 80.93998949839317
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.23, 249.81, 249.8100000000001, 484.87, 0.0, 302.00210909859555
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.37, 246.56, 246.55999999999995, 326.41, 0.0, 289.92275936876706
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.23, 159.43, 159.43000000000006, 295.01, 0.0, 162.66992684574493
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.15, 101.37, 101.36999999999998, 185.1, 0.0, 53.565036170994986
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.37, 162.55, 162.54999999999998, 205.01, 0.0, 174.9680756595329
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.42, 205.21, 205.20999999999992, 257.94, 0.0, 215.97996643207446
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.18, 94.19, 94.18999999999997, 314.42, 0.0, 52.807328089953586
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.34, 36903.31, 34903.67000000003, 46554.65, 0.0, 13323.691814249529
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.28, 126.05, 126.05000000000003, 634.85, 0.0, 78.53551744274687
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.37, 248.49, 248.48999999999998, 378.36, 0.0, 249.0650314676872
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.35, 185.3, 185.30000000000004, 279.49, 0.0, 200.9063712279927
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.25, 117.23, 117.23, 151.9, 0.0, 119.43189314416814
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.26, 141.86, 141.85999999999999, 205.87, 0.0, 150.3424770316094
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.39, 3538.33, 3538.330000000001, 4374.01, 0.0, 3312.6269366018264
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.34, 39361.74, 39361.740000000005, 46561.520000000004, 1.0, 11702.769398598599
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.016, StatRejectNull, 2.6, 10309.19, 10309.190000000004, 12830.26, 0.0, 8211.73164526825
"nruns=100 cat=mixed fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.97, 40305.68, 40305.679999999986, 48503.33, 0.0, 8760.628681641516
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.0, 11101.57, 11101.570000000002, 49903.0, 0.0, 7803.3287682309
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.0, 35146.77, 35146.76999999998, 49804.0, 0.0, 15619.120919472387
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.0, 11677.19, 11677.19, 49903.0, 0.0, 9440.484780661423
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.01, 38246.04, 38246.03999999998, 49805.96, 0.0, 11665.733001333434
