parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.002, StatRejectNull, 1.0, 12715.880000000001, 0.0, 0.0, 0.0, 912.8050972688527, 0.0020000000000000018
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.003, StatRejectNull, 1.0, 280.06000000000006, 0.0, 0.0, 0.0, 84.99491984818857, 0.0029999999999998916
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.004, StatRejectNull, 1.0, 11324.389999999996, 0.0, 0.0, 0.0, 833.7776309664346, 0.0040000000000000036
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.006, StatRejectNull, 1.0, 991.0, 0.0, 0.0, 0.0, 0.0, 0.006000000000000005
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.005, StatRejectNull, 1.0, 762.6599999999999, 0.0, 0.0, 0.0, 347.0000639769394, 0.004999999999999893
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.0, 8608.870000000003, 0.0, 0.0, 0.0, 607.2819222568706, 0.010000000000000009
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.008, StatRejectNull, 1.0, 594.3299999999999, 0.0, 0.0, 0.0, 257.0155658710188, 0.008000000000000007
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.008, StatRejectNull, 1.0, 9399.530000000002, 0.0, 0.0, 0.0, 671.1197278429535, 0.008000000000000007
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.0, 558.8100000000003, 0.0, 0.0, 0.0, 226.2273942297882, 0.010000000000000009
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.005, StatRejectNull, 1.0, 10806.080000000002, 0.0, 0.0, 0.0, 785.9571703343636, 0.004999999999999893
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.012, StatRejectNull, 1.0, 25388.32, 0.0, 0.0, 0.0, 10295.584205745685, 0.01200000000000001
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.0, 497.0, 0.0, 0.0, 0.0, 0.0, 0.01200000000000001
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.03, StatRejectNull, 1.0, 7079.560000000003, 0.0, 0.0, 0.0, 5024.141161074197, 0.030000000000000096
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.016, StatRejectNull, 1.0, 16681.760000000002, 0.0, 0.0, 0.0, 9360.353648361797, 0.016000000000000014
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 14211.809999999998, 0.0, 0.0, 0.0, 7731.103571541388, 0.020000000000000018
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.0, 373.0, 0.0, 0.0, 0.0, 0.0, 0.016000000000000014
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4448.199999999998, 0.0, 0.0, 0.0, 2878.553772296081, 0.040000000000000036
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.012, StatRejectNull, 1.0, 7800.229999999999, 0.0, 0.0, 0.0, 534.100867907926, 0.01200000000000001
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.012, StatRejectNull, 1.0, 200.99000000000007, 0.0, 0.0, 0.0, 57.43874911590606, 0.01200000000000001
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.06, StatRejectNull, 1.0, 2278.1600000000008, 0.0, 0.0, 0.0, 1649.7150039931137, 0.06000000000000019
