parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 75477.64, 75477.89, 75000.0, 75.0, 1190.186845163397, 0.0029834000000000006
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 12522.78, 12523.780000000008, 0.0, 0.0, 9140.904271000765, 0.004884200000000003
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 16356.25, 16357.250000000004, 0.0, 0.0, 11346.189135013572, 0.0029496999999999974
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 96026.38, 96026.42, 96000.0, 96.0, 370.0043918658264, 0.0029894000000000066
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 23641.5, 23642.329999999998, 17000.0, 17.0, 11243.401339171462, 0.002994900000000014
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 12126.3, 12127.299999999994, 0.0, 0.0, 6903.748557848846, 0.003946999999999998
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 2545.46, 2546.46, 0.0, 0.0, 2797.7629221218863, 0.005996899999999999
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 4777.19, 4778.190000000002, 0.0, 0.0, 4457.124417592581, 0.003975800000000005
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 5664.38, 5665.369999999999, 1000.0, 1.0, 7251.694863367365, 0.003960199999999992
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 7944.24, 7945.240000000001, 0.0, 0.0, 6518.915557238028, 0.002979099999999999
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 50470.36, 50471.359999999986, 0.0, 0.0, 21831.19819822998, 0.002693699999999997
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 616.0, 617.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 1345.34, 1346.34, 0.0, 0.0, 1204.8614710413808, 0.0079822
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 747.0, 748.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 1618.54, 1619.54, 0.0, 0.0, 1444.0589559986809, 0.007957699999999991
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 598.0, 599.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 799.62, 800.6200000000002, 0.0, 0.0, 553.6577603538128, 0.00995569999999999
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 513.0, 514.0, 0.0, 0.0, 0.0, 0.01200000000000001
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 770.0, 771.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 57574.659999999996, 57575.08999999999, 56999.99999999999, 56.99999999999999, 1665.7660886149197, 0.007812999999999997
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 1941.42, 1942.4200000000003, 0.0, 0.0, 1870.8305117246725, 0.009889000000000005
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 11306.66, 11307.66, 0.0, 0.0, 6926.807723937484, 0.007825399999999998
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 4174.59, 4175.589999999998, 0.0, 0.0, 3229.372378946101, 0.009799699999999998
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 821.19, 822.1899999999999, 0.0, 0.0, 778.8377070352976, 0.011977699999999996
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 84082.82, 84082.98, 84000.0, 84.0, 321.1555065307148, 0.00974979999999999
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 385.0, 386.0, 0.0, 0.0, 0.0, 0.016000000000000014
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 1561.61, 1562.609999999999, 0.0, 0.0, 1442.9875945066196, 0.011880999999999996
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 373.0, 374.0, 0.0, 0.0, 0.0, 0.016000000000000014
