parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100.0 Nb=20000.0 cat=pollingNoStyles fuzzPct=0.0 auditType=2.0 ", 10000, 0.05, StatRejectNull, 1.14, 2025.74, 2025.7400000000002, 7402.96, 0.0, 1258.5443227792973
"nruns=100.0 Nb=20000.0 cat=pollingWithStyles fuzzPct=0.0 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.16, 5581.52, 5581.520000000004, 8128.26, 0.0, 2188.9379866958307
"nruns=100.0 Nb=20000.0 cat=pollingNoStyles fuzzPct=0.0 auditType=2.0 ", 10000, 0.03, StatRejectNull, 1.16, 3813.27, 3813.269999999999, 13113.36, 0.0, 1968.6072582158179
"nruns=100.0 Nb=20000.0 cat=pollingNoStyles fuzzPct=0.0 auditType=2.0 ", 10000, 0.04, StatRejectNull, 1.16, 2747.3, 2747.3, 10173.22, 0.0, 1491.977147948319
"nruns=100.0 Nb=20000.0 cat=pollingNoStyles fuzzPct=0.0 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.19, 5550.68, 5550.679999999999, 16358.62, 0.0, 2361.299434125201
"nruns=100.0 Nb=20000.0 cat=pollingWithStyles fuzzPct=0.0 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.2, 8107.38, 8107.380000000001, 9491.52, 0.0, 2023.6943434224447
"nruns=100.0 Nb=20000.0 cat=pollingNoStyles fuzzPct=0.0 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.17, 8286.43, 8286.429999999998, 18953.96, 0.0, 1917.3867281015582
"nruns=100.0 cat=clcaNoStyles mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.15, StatRejectNull, 2.0, 39.0, 39.0, 96.0, 0.0, 0.0
"nruns=100.0 cat=clcaNoStyles mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.08, StatRejectNull, 2.0, 74.0, 74.0, 184.0, 0.0, 0.0
"nruns=100.0 cat=clcaNoStyles mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.1, StatRejectNull, 2.0, 59.0, 59.0, 146.0, 0.0, 0.0
"nruns=100.0 cat=clcaNoStyles mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.02, StatRejectNull, 2.0, 295.0, 295.0, 736.0, 0.0, 0.0
"nruns=100.0 cat=clcaNoStyles mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.01, StatRejectNull, 2.0, 582.0, 582.0, 1454.0, 0.0, 0.0
