parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.05, StatRejectNull, 2.18, 898.97, 550.62, 898.97, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.98, 607.09, 354.82, 607.09, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.34375, 34903.864583333336, 21358.375, 34933.53125, 4.0
"nruns=100.0 strat=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.03, 847.63, 273.14, 847.63, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.23, 659.22, 285.79, 659.22, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.45, 1041.17, 528.44, 1041.17, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.39, 734.01, 369.62, 734.01, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.79, 434.16, 255.57, 434.16, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.12, 647.1, 224.48, 647.1, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.94, 2866.52, 1423.94, 2866.52, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.06, 496.53, 193.47, 496.53, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.3434343434343434, 36082.14141414141, 21482.272727272728, 36095.919191919194, 1.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.27, 500.61, 242.22, 500.61, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.005, FailPct, 0.0, 50000.0, 50000.0, 50000.0, 100.0
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 2.06, 368.13, 209.94, 368.13, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.05, StatRejectNull, 2.05, 2024.98, 1019.43, 2024.98, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.06, 401.21, 159.55, 401.21, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.99, 292.07, 188.69, 292.07, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.33, 418.26, 200.51, 418.26, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.4285714285714286, 39436.57142857143, 24134.725274725275, 39454.73626373626, 9.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.35, 565.9, 265.77, 565.9, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.06, StatRejectNull, 2.12, 1544.89, 758.05, 1544.89, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.99, 246.46, 154.07, 246.46, 0.0
