parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 3690.84, 3691.84, 0.0, 0.0, 2898.426617045876, 0.009558100000000003
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 4227.55, 4228.550000000002, 0.0, 0.0, 2792.929663901331, 0.009634600000000002
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.025, StatRejectNull, 1.0, 15584.58, 15585.58, 0.0, 0.0, 8113.1806354598075, 0.004602000000000004
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.025, StatRejectNull, 1.0, 21718.06, 21719.059999999994, 0.0, 0.0, 9927.670950248099, 0.0046394
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 1524.32, 1525.3200000000006, 0.0, 0.0, 1242.3096866723693, 0.019382200000000006
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 6715.49, 6716.49, 0.0, 0.0, 4576.917363236963, 0.009648200000000001
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.025, StatRejectNull, 1.0, 15034.89, 15035.89, 0.0, 0.0, 6656.92603368101, 0.004659200000000001
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 98730.7, 98730.93, 75000.0, 75.0, 12944.753864079457, -4.266000000000025E-4
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 99065.17, 99065.43, 71000.0, 71.0, 6341.855903037139, -2.795999999999954E-4
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 99991.68, 99991.7, 98000.0, 98.0, 15.0, -0.0081818
