parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.59, 543.19, 543.1899999999999, 612.5, 0.0, 355.67593944488283
"nruns=100.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 2.48, 653.05, 653.0500000000004, 727.13, 0.0, 581.1858287157388
"nruns=100.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.25, 105.36, 105.35999999999997, 138.26, 0.0, 57.40583942422582
"nruns=100.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.53, 979.74, 979.7399999999999, 1101.8, 0.0, 933.5007190141847
"nruns=100.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.015, StatRejectNull, 3.06, 1700.31, 1700.31, 1933.08, 0.0, 1542.0049655886323
"nruns=100.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.25, 86.61, 86.61000000000004, 109.64, 0.0, 45.81765925928561
"nruns=100.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.52, 88.12, 88.12000000000002, 93.93, 0.0, 38.63011260661817
"nruns=100.0 cat=previous simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.21, 68.62, 68.61999999999999, 229.21, 0.0, 28.645341680629333
"nruns=100.0 cat=previous simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.3, 591.03, 591.03, 882.48, 1.0, 41.528710705682144
"nruns=100.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.24, 74.48, 74.48000000000003, 93.96, 0.0, 33.95422801360679
"nruns=100.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.42, 67.12, 67.11999999999996, 71.29, 0.0, 23.912875193083746
"nruns=100.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.6, 131.4, 131.39999999999995, 145.15, 0.0, 120.56027538123823
"nruns=100.0 cat=previous simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.26, 579.75, 579.75, 835.48, 1.0, 39.45211193082657
"nruns=100.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.59, 79.04, 79.03999999999998, 84.81, 0.0, 30.5908221530576
"nruns=100.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.54, 111.07, 111.07, 119.65, 0.0, 95.49620463662417
"nruns=100.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.43, 85.13, 85.13000000000001, 90.96, 0.0, 69.60900157307243
"nruns=100.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.015, StatRejectNull, 3.42, 947.73, 947.7299999999998, 1084.12, 0.0, 617.0854860552141
