parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 3593.22, 3594.22, 0.0, 0.0, 2601.8587954768022, 0.007843899999999994
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 26432.77, 26433.77, 0.0, 0.0, 16632.559679649432, 0.0029616000000000043
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 351.8, 352.79999999999984, 0.0, 0.0, 223.13453340977946, 0.029518299999999987
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.002, StatRejectNull, 1.0, 38639.96, 38640.96, 0.0, 0.0, 20843.531204150608, 0.0019955999999999884
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 1300.29, 1301.2899999999993, 0.0, 0.0, 1105.8702572634818, 0.019656400000000004
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 1872.66, 1873.6599999999999, 0.0, 0.0, 1356.427441627454, 0.011914000000000011
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 12982.69, 12983.69, 0.0, 0.0, 9265.499681825044, 0.003916500000000001
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 6085.64, 6086.640000000001, 0.0, 0.0, 4066.6987336659204, 0.007890700000000011
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.001, StatRejectNull, 1.0, 62050.1, 62051.070000000014, 2000.0, 2.0, 28078.949769860752, 9.582000000000024E-4
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.002, StatRejectNull, 1.0, 47706.97, 47707.969999999994, 0.0, 0.0, 21788.554419903583, 0.001894100000000003
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 13792.25, 13793.25, 0.0, 0.0, 8194.366957093147, 0.004862400000000009
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.002, StatRejectNull, 1.0, 45465.54, 45466.54, 0.0, 0.0, 22491.166006865893, 0.0018931999999999905
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 13802.19, 13803.190000000004, 0.0, 0.0, 9510.836533864938, 0.00499910000000001
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 32362.27, 32363.269999999997, 0.0, 0.0, 15072.398763869674, 0.0028610000000000024
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.025, StatRejectNull, 1.0, 474.16, 475.1600000000001, 0.0, 0.0, 375.5418410776621, 0.024707800000000012
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.001, StatRejectNull, 1.0, 72903.81999999999, 72904.77999999998, 4000.0, 4.0, 22160.651635327507, 9.865000000000134E-4
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.001, StatRejectNull, 1.0, 74061.54, 74062.49000000002, 4000.0, 4.0, 24744.73428653761, 9.123000000000037E-4
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 234.35, 235.34999999999994, 0.0, 0.0, 134.9134815353899, 0.03938060000000001
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 327.52, 328.52, 0.0, 0.0, 332.2913023237292, 0.03929939999999999
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.08, StatRejectNull, 1.0, 137.54, 138.53999999999994, 0.0, 0.0, 125.94263932441628, 0.0787172
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.06, StatRejectNull, 1.0, 200.79, 201.79000000000005, 0.0, 0.0, 202.61358764900245, 0.059059
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 262.63, 263.6299999999999, 0.0, 0.0, 243.49930821256967, 0.0492572
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.06, StatRejectNull, 1.0, 191.02, 192.01999999999998, 0.0, 0.0, 193.3822628888182, 0.05912590000000001
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.07, StatRejectNull, 1.0, 113.85, 114.85, 0.0, 0.0, 58.96293327167501, 0.06890600000000001
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.06, StatRejectNull, 1.0, 136.62, 137.62, 0.0, 0.0, 65.38589756208904, 0.05906190000000001
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 275.42, 276.4199999999999, 0.0, 0.0, 245.49298075505138, 0.049192099999999996
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 181.22, 182.21999999999994, 0.0, 0.0, 126.98130413568762, 0.04935999999999999
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 72.46, 73.46, 0.0, 0.0, 32.129867724595435, 0.09846669999999996
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.07, StatRejectNull, 1.0, 152.69, 153.69000000000003, 0.0, 0.0, 142.42202743957833, 0.0688736
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.07, StatRejectNull, 1.0, 150.51, 151.51000000000008, 0.0, 0.0, 137.89978208829774, 0.0688746
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 92.48, 93.48, 0.0, 0.0, 81.20830991961354, 0.09847640000000006
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 84.66, 85.66, 0.0, 0.0, 77.75567117580556, 0.09844439999999999
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.08, StatRejectNull, 1.0, 116.09, 117.09000000000003, 0.0, 0.0, 101.1732271898055, 0.07874220000000001
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.08, StatRejectNull, 1.0, 99.52, 100.52000000000002, 0.0, 0.0, 55.57741987534146, 0.07874469999999999
