parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.07000000000000006, StatRejectNull, 1.096, 93.24800000000002, 0.0, 94.462, 0.0, 26.388226465603935, 0.0, 1.1805
"nruns=1000.0 fuzzMvrs=0.003 ", 50000, 0.020000000000000018, StatRejectNull, 1.438, 410.2570000000006, 0.0, 427.054, 0.0, 238.21632385502036, 0.0, 14.411833333333332
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.010000000000000009, StatRejectNull, 1.556, 890.4070000000007, 0.0, 942.58, 0.0, 599.7598430630381, 0.0, 43.03320000000001
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.050000000000000044, StatRejectNull, 1.115, 131.58100000000027, 0.0, 133.614, 0.0, 40.67932446587578, 0.0, 1.984
"nruns=1000.0 fuzzMvrs=0.001 ", 50000, 0.014999999999999902, StatRejectNull, 1.225, 476.9059999999998, 0.0, 490.487, 0.0, 225.23299306273938, 0.0, 12.486666666666666
"nruns=1000.0 fuzzMvrs=0.003 ", 50000, 0.040000000000000036, StatRejectNull, 1.2, 172.7129999999997, 0.0, 177.565, 0.0, 71.74941554465794, 0.0, 4.529833333333334
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.10000000000000009, StatRejectNull, 1.061, 63.182000000000045, 0.0, 63.549, 0.0, 13.480314388025228, 0.0, 0.367
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.06000000000000005, StatRejectNull, 1.1, 108.74200000000006, 0.0, 110.369, 0.0, 30.25470931937704, 0.0, 1.5835
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.014999999999999902, StatRejectNull, 1.392, 534.7620000000003, 0.0, 557.255, 0.0, 312.7332527186708, 0.0, 19.652483333333333
"nruns=1000.0 fuzzMvrs=0.001 ", 50000, 0.07000000000000006, StatRejectNull, 1.049, 90.72599999999998, 0.0, 91.12, 0.0, 18.11907624576926, 0.0, 0.384
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.030000000000000027, StatRejectNull, 1.222, 236.827, 0.0, 242.652, 0.0, 101.52874997260628, 0.0, 5.284
"nruns=1000.0 fuzzMvrs=0.004 ", 50000, 0.050000000000000044, StatRejectNull, 1.233, 142.95400000000024, 0.0, 147.372, 0.0, 64.95726198047447, 0.0, 4.100666666666666
"nruns=1000.0 fuzzMvrs=0.003 ", 50000, 0.07000000000000006, StatRejectNull, 1.132, 94.92200000000008, 0.0, 96.84, 0.0, 32.46456400446493, 0.0, 1.8851666666666667
