parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 11413.55, 0.0, 0.0, 0.0, 6195.3055249519375, 0.014999999999999902, -11413.55
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 663.05, 0.0, 0.0, 0.0, 311.9342037994552, 0.030000000000000027, -663.05
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 20308.399999999998, 0.0, 0.0, 0.0, 8298.708624840374, 0.004999999999999893, -20308.4
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 2838.2999999999997, 0.0, 0.0, 0.0, 1816.0715872453927, 0.014999999999999902, -2838.3
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 7581.9, 0.0, 0.0, 0.0, 4307.437090660756, 0.004999999999999893, -7581.9
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 1044.8999999999999, 0.0, 0.0, 0.0, 712.2760630542064, 0.014999999999999902, -1044.9
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 5769.799999999999, 0.0, 0.0, 0.0, 3830.177157782652, 0.020000000000000018, -5769.8
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 6054.399999999999, 0.0, 0.0, 0.0, 4903.06708499894, 0.014999999999999902, -6054.4
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 331.4500000000001, 0.0, 0.0, 0.0, 310.2230608771695, 0.030000000000000027, -331.45
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 2406.8, 0.0, 0.0, 0.0, 1991.7894868685296, 0.020000000000000018, -2406.8
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 1736.05, 0.0, 0.0, 0.0, 822.1644285056366, 0.030000000000000027, -1736.05
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 2773.9999999999995, 0.0, 0.0, 0.0, 1727.5135600046676, 0.030000000000000027, -2774.0
