parameters, N, reportedMean, reportedMeanDiff, nsuccess, ntrials, totalSamples, stddev, percentHist
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.0075, 25, 10000, 19275, 0.0 , "10000 [1:25 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.001, 10000, 10000, 6954540, 439.0752084597808 , "10000 [1:6629 2:3234 3:137 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.002, 10000, 10000, 11506379, 778.4835679599098 , "10000 [1:4265 2:3840 3:1707 4:187 5:1 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.506, -0.002, 10000, 10000, 17615525, 1138.6559611417995 , "10000 [1:3419 2:1902 3:2716 4:1579 5:373 6:11 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.01, 2, 10000, 1542, 0.0 , "10000 [1:2 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.02, 194, 10000, 1909762, 1.6876071388935505 , "10000 [10:194 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.005, 10000, 10000, 48968246, 2257.6099340751566 , "10000 [1:1178 2:392 3:427 4:755 5:1103 6:1847 7:2510 8:1653 9:135 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.03, 548, 10000, 5341858, 2.548843549896144 , "10000 [10:548 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.04, 778, 10000, 7510965, 3.4613011712749144 , "10000 [10:778 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.506, -0.005, 10000, 10000, 80703314, 2526.8119765772162 , "10000 [1:744 2:87 3:81 4:69 5:85 6:153 7:232 8:541 9:2005 10:6003 ]"
