parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 2.294, 564.491, 564.4909999999994, 639.043, 0.0, 535.4647382592059
"nruns=1000.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.632, 540.181, 540.1810000000005, 615.444, 0.0, 369.4100516215007
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.245, 98.68, 98.67999999999998, 137.042, 0.0, 50.639565558958004
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.248, 85.711, 85.71100000000001, 111.602, 0.0, 43.348765599495465
"nruns=1000.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.233, 127.543, 127.54300000000018, 180.994, 0.0, 118.59161922749861
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.228, 74.555, 74.55500000000004, 92.815, 0.0, 36.415477135415905
"nruns=1000.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.206, 102.162, 102.16199999999999, 138.73, 0.0, 97.46918362231217
"nruns=1000.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.478, 76.467, 76.4669999999999, 81.475, 0.0, 28.36859021876131
"nruns=1000.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.431, 67.591, 67.59099999999998, 71.701, 0.0, 24.51484690957705
"nruns=1000.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.206, 93.106, 93.10600000000005, 119.579, 0.0, 85.86981287973086
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.531, 120.856, 120.85600000000002, 132.504, 0.0, 108.15065077936421
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.452, 100.934, 100.93399999999998, 109.957, 0.0, 91.16754709873467
"nruns=1000.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.604, 90.696, 90.69600000000003, 97.0, 0.0, 37.62945101911532
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.454, 92.71, 92.71000000000014, 100.998, 0.0, 85.0537471249797
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.77, 1090.179, 1090.179, 1235.038, 0.0, 956.6680338335756
"nruns=1000.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.015, StatRejectNull, 3.061, 830.369, 830.3690000000001, 951.896, 0.0, 549.4710991844793
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.015, StatRejectNull, 3.293, 1882.777, 1882.7769999999994, 2128.482, 0.0, 1565.322424061892
"nruns=1000.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.01, StatRejectNull, 3.742, 1656.109, 1656.1090000000004, 1884.351, 0.0, 1237.6793862382126
"nruns=1000.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.135, 11911.773, 11911.773000000001, 21649.892, 2.1, 6913.479708976987
"nruns=1000.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 4.147, 2542.772, 2542.772000000005, 2912.87, 0.0, 1896.7076158480518
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.01, StatRejectNull, 3.991, 3729.728, 3729.7279999999996, 4205.778, 0.0, 2854.7402428270075
"nruns=1000.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.005, StatRejectNull, 5.077, 5257.802, 5257.802000000007, 5959.363, 0.0, 3932.463386326185
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 4.587, 6066.48, 6066.479999999993, 6838.965, 0.0, 4261.218134008163
"nruns=1000.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.005, StatRejectNull, 5.426, 11586.112, 11586.111999999985, 13064.946, 0.0, 7230.5669612732345
