parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.01, StatRejectNull, 1.82, 1113.31, 1113.31, 1234.15, 0.0, 916.3750618060271
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.008, StatRejectNull, 2.02, 1553.49, 1553.4899999999996, 1724.25, 0.0, 1202.5389016160766
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.9, 7879.549999999999, 7479.549999999998, 8965.87, 6.0, 3155.240913310363
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.006, StatRejectNull, 2.01, 2134.97, 2134.9700000000007, 2402.43, 0.0, 1647.8975056416587
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.001, StatRejectNull, 2.03, 8726.560000000001, 7526.569999999998, 9566.349999999999, 18.0, 3688.8569140980358
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.08, StatRejectNull, 1.23, 95.58, 95.57999999999998, 99.5, 0.0, 73.42073004267938
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.004, StatRejectNull, 2.26, 3575.67, 3575.6699999999996, 4036.44, 0.0, 2330.900761744266
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.1, StatRejectNull, 1.23, 71.36, 71.35999999999999, 76.14, 0.0, 50.971662715669765
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.002, StatRejectNull, 2.25, 6133.969999999999, 6033.9699999999975, 7064.56, 1.0, 3171.2890540697817
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.07, StatRejectNull, 1.3, 119.47, 119.47000000000003, 127.66, 0.0, 101.5478660534036
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.005, StatRejectNull, 2.4, 3083.69, 3083.6900000000005, 3487.48, 0.0, 2080.7956444350793
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.04, StatRejectNull, 1.46, 228.93, 228.93000000000004, 248.72, 0.0, 187.3788277794479
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.06, StatRejectNull, 1.49, 150.36, 150.35999999999993, 165.69, 0.0, 135.5731182793993
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.05, StatRejectNull, 1.48, 182.18, 182.17999999999992, 200.03, 0.0, 167.58349441397857
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.03, StatRejectNull, 1.69, 345.74, 345.74000000000007, 389.67, 0.0, 317.81823799146576
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.02, StatRejectNull, 1.62, 531.22, 531.22, 589.68, 0.0, 521.4240995581235
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.002, StatRejectNull, 2.67, 7717.58, 7617.580000000003, 8629.7, 3.0, 2507.5991618243506
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.016, StatRejectNull, 2.1, 883.55, 883.5499999999998, 1005.65, 0.0, 812.5186813236974
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.003, StatRejectNull, 2.91, 6434.68, 6334.679999999999, 7253.41, 1.0, 2815.8004842142736
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.004, StatRejectNull, 2.9, 4866.09, 4866.089999999999, 5505.86, 0.0, 2827.663795768514
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.98, 8913.22, 8113.239999999999, 9595.3, 24.0, 3456.8929967726417
