parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.06, StatRejectNull, 1.0, 1469.05, 1470.0500000000004, 0.0, 0.0, 1028.1629965623156, 0.06000000000000019
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.002, StatRejectNull, 1.0, 9861.11, 9862.069999999998, 0.0, 0.0, 647.1143524138528, 0.0020000000000000018
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.004, StatRejectNull, 1.0, 9338.68, 9339.68, 0.0, 0.0, 1548.917137099335, 0.003997999999999997
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.001, StatRejectNull, 1.0, 9673.82, 9674.34, 0.0, 0.0, 1410.639991067884, 9.999999999998899E-4
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.06, StatRejectNull, 1.0, 1599.51, 1600.51, 0.0, 0.0, 1079.1547756925324, 0.059934000000000015
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.016, StatRejectNull, 1.0, 6851.5, 6852.499999999999, 0.0, 0.0, 2047.3348504824507, 0.016000000000000014
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.005, StatRejectNull, 1.0, 9344.39, 9345.39, 0.0, 0.0, 1394.3132997644395, 0.004916999999999998
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.016, StatRejectNull, 1.0, 6504.51, 6505.509999999999, 0.0, 0.0, 2320.93330578455, 0.015931000000000015
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.003, StatRejectNull, 1.0, 9709.53, 9710.530000000002, 0.0, 0.0, 1014.299191116704, 0.0029999999999998916
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.004, StatRejectNull, 1.0, 9410.72, 9411.72, 0.0, 0.0, 1665.1211852594995, 0.0040000000000000036
