parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.03, 1771.59, 1771.5899999999995, 4221.45, 0.0, 1078.8818201730899
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.003, StatRejectNull, 1.01, 13452.04, 13452.040000000003, 31033.34, 0.0, 7413.982582822811
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.03, 6063.64, 6063.639999999999, 15220.91, 0.0, 3680.9407425819827
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.004, StatRejectNull, 1.03, 8715.1, 8715.100000000002, 21713.98, 0.0, 5306.3982012284005
"nruns=100 cat=2*fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.04, 6303.4, 6303.4000000000015, 15241.08, 0.0, 4393.967737705866
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.006, StatRejectNull, 1.03, 4036.42, 4036.420000000001, 11108.15, 0.0, 2437.655275792703
"nruns=100 cat=2*fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.003, StatRejectNull, 1.04, 15970.32, 15970.32, 31356.76, 0.0, 9198.020589105028
"nruns=100 cat=2*fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.004, StatRejectNull, 1.07, 10703.99, 10703.990000000003, 22769.01, 0.0, 6799.36950238035
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.003, StatRejectNull, 1.07, 17056.35, 17056.350000000002, 32320.22, 0.0, 9841.874905093035
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.09, 7866.33, 7866.33, 15849.83, 0.0, 4944.5592302145615
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.008, StatRejectNull, 1.09, 2792.12, 2792.120000000001, 6656.23, 0.0, 1839.8997324854415
"nruns=100 cat=2*fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.006, StatRejectNull, 1.1, 5814.08, 5814.080000000001, 11702.05, 0.0, 3673.0612618904133
