parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.21, 1467.68, 1467.6800000000007, 2871.02, 0.0, 1139.797744163411
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.008, StatRejectNull, 1.21, 1973.97, 1973.97, 4195.13, 0.0, 1606.3861768267304
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.001, StatRejectNull, 1.17, 32432.079999999998, 32432.080000000016, 46630.25, 1.0, 13919.904045577976
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.002, StatRejectNull, 1.23, 21914.31, 21914.31, 34754.38, 0.0, 12306.078367778257
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.33, 5907.17, 5907.170000000001, 11099.63, 0.0, 4571.7187206891895
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.001, StatRejectNull, 1.21, 35323.28, 34323.280000000006, 46851.67, 1.0, 13878.732504969443
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.003, StatRejectNull, 1.3, 13100.92, 13100.919999999995, 24099.94, 0.0, 8606.425214547558
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.004, StatRejectNull, 1.38, 9753.42, 9753.419999999998, 17061.26, 0.0, 6730.721434110908
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.43, 2004.73, 2004.7299999999998, 3552.91, 0.0, 1774.8961257211647
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.008, StatRejectNull, 1.42, 2965.98, 2965.98, 5123.21, 0.0, 2444.0458710097896
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.006, StatRejectNull, 1.47, 5118.21, 5118.210000000001, 8631.56, 0.0, 3769.1790546351076
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.001, StatRejectNull, 1.25, 34066.72, 31066.900000000005, 46990.12, 0.0, 14463.197209814985
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.12, 905.93, 905.9299999999998, 1889.29, 0.0, 570.4510716091257
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.12, 601.19, 601.19, 1163.9, 0.0, 324.96558879364443
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.07, 411.2, 411.2, 805.75, 0.0, 181.93504335339026
